Soil,Treatment,Yield,Puptake,Precovery,PUE,PO4,ResinP,WaterSolP,pH,EC,OC,CharPRate,CharPerc
Haverhill,CanolaHull10thaTSP,9.5,19.17,31.68,131.48,11.4,0.15,2.95,7.91,0.321,2,52000,0.55
Haverhill,Manure10thaTSP,8.89,17.57,11.26,47.13,23.22,0.54,8,8.07,0.232,2,133500,2.17
Haverhill,Manure10thaTSP,9.83,17.83,11.46,54.18,13.37,0.3,4.4,8.06,0.245,1.92,133501,2.171
Haverhill,Manure10thaTSP,9.9,22.5,14.95,54.7,26.68,0.48,8.4,8.09,0.236,2.01,133499,2.169
Haverhill,Manure10thaTSP,9.31,21.14,13.94,50.28,19.48,0.49,5.55,8.06,0.236,1.98,133500,2.17
Haverhill,Willow10thaTSP,10.13,20.04,52.25,224.85,10.36,0.12,3.1,8.03,0.202,2.13,33500,0.17
Haverhill,Willow10thaTSP,6.82,14.14,34.62,126.04,15.32,0.2,5.55,8.02,0,2.01,33501,0.171
Haverhill,Willow10thaTSP,7.5,14.83,36.68,146.34,12.51,0.12,4.05,8.06,0.198,2.3,33499,0.169
Haverhill,Willow10thaTSP,11.16,19.57,50.83,255.6,11.47,0.19,3.5,8.07,0.203,2.12,33500,0.17
Haverhill,TripleSuperPhosphate,6.02,13,41.85,136.9,14.59,0.14,3.65,8.08,0.201,1.85,25000,24.6
Haverhill,TripleSuperPhosphate,9.86,17.98,61.76,290.5,11.83,0.07,3,8.1,0.193,1.92,25001,24.61
Haverhill,TripleSuperPhosphate,8.63,16.25,54.84,241.3,11.21,0.09,3.35,8.06,0.215,1.86,24999,24.59
Haverhill,TripleSuperPhosphate,10.51,18.41,63.48,316.5,13.04,0.07,3.3,8.06,0.22,1.88,25000,24.6
Oxbow,Control,2,2.79,NA,,2.99,0.1,3.1,7.98,0.208,2.8,NA,NA
Oxbow,Control,3.01,3.17,NA,,2.56,0.08,2.55,7.97,0.233,2.77,NA,NA
Oxbow,Control,2.3,2.09,NA,,2.26,0.04,1.8,7.95,0.265,2.85,NA,NA
Oxbow,Control,3.17,3.21,NA,,2.91,0.08,2.65,7.97,0.235,2.91,NA,NA
Oxbow,CanolaMeal50kgha,1.98,1.87,-3.79,-25.6,2.73,0.09,2.5,7.94,0.245,2.85,25000,3.04
Oxbow,CanolaMeal50kgha,3.91,3.77,3.83,51.6,2.36,0.11,2.2,7.98,0.221,2.66,25001,3.041
Oxbow,CanolaMeal50kgha,1.76,1.96,-3.43,-34.4,2.49,0.12,2.1,8.01,0.211,2.92,24999,3.039
Oxbow,CanolaMeal50kgha,3.54,4.12,5.19,36.8,2.42,0.08,2.65,7.96,0.246,2.87,25000,3.04
Oxbow,CanolaHull50kgha,NA,9.58,NA,222.8,2.67,0.09,2.95,7.89,0.299,3.21,25000,0.55
Oxbow,CanolaHull50kgha,3.69,2.67,-0.6,42.8,2.59,0.03,1.85,7.86,0.412,3.13,25001,0.551
Oxbow,CanolaHull50kgha,3.1,3.07,1.03,19.2,3.39,0.11,2.95,7.91,0.352,3.27,24999,0.549
Oxbow,CanolaHull50kgha,4.24,4.23,5.63,64.8,2.89,0.14,2.7,7.96,0.287,3.43,25000,0.55
Oxbow,Manure50kgha,5.39,6.21,13.55,110.8,2.4,0.11,2.95,7.99,0.216,2.99,25000,2.17
Oxbow,Manure50kgha,5.83,7.37,18.2,128.4,2.79,0.11,2.9,7.97,0.23,3.04,25001,2.171
Oxbow,Manure50kgha,6.88,11.23,33.65,170.4,2.2,0.14,2.65,7.95,0.22,2.91,24999,2.169
Oxbow,Manure50kgha,8.92,10.38,30.27,252,2.69,0.13,3.1,7.99,0.216,3.03,25000,2.17
Oxbow,Willow50kgha,9.83,16.38,54.26,288.4,3.32,0.13,3.6,7.93,0.253,,25000,0.17
Oxbow,Willow50kgha,10.12,15.88,52.25,300,2.84,0.09,2.65,8,0.219,3.64,25001,0.171
Oxbow,Willow50kgha,10.21,14.43,46.46,303.6,2.52,0.07,2.85,7.98,0.239,3.66,24999,0.169
Oxbow,Willow50kgha,NA,9.19,25.48,-104.8,2.51,0.12,3,7.94,0.229,3.42,25000,0.17
Oxbow,CanolaMeal10tha,10.3,16.19,8.8,50.53,2.78,0.11,3.1,7.91,0.218,2.85,152000,3.04
Oxbow,CanolaMeal10tha,9.86,13.24,6.85,47.63,2.79,,3.6,7.9,0.239,3.01,151999,3.041
Oxbow,CanolaMeal10tha,8.51,14.81,7.89,38.75,2.6,0.12,3,7.93,0.211,2.93,152001,3.039
Oxbow,CanolaMeal10tha,6.53,10.45,5.02,25.72,2.56,0.11,2.7,7.96,0.224,2.61,15200,3.04
Oxbow,CanolaHull10tha,4.12,3.74,3.37,54.55,4.11,0.09,3.1,7.93,0.325,2.65,27500,0.55
Oxbow,CanolaHull10tha,4.78,8.91,22.15,78.55,3.43,0.1,2.85,7.94,0.319,2.88,27501,0.551
Oxbow,CanolaHull10tha,4.74,5.53,9.88,77.09,3.24,0.1,3.15,7.96,0.344,2.97,27499,0.549
Oxbow,CanolaHull10tha,3.75,3.86,3.78,41.09,2.89,0.1,2.7,7.98,0,2.69,27500,0.55
Oxbow,Manure10tha,9.9,18.02,14.02,67.1,3.43,0.15,3.4,8,0.238,2.59,108500,2.17
Oxbow,Manure10tha,9.46,17.79,13.8,63.04,5.22,0.17,4,7.96,0.264,2.62,108501,2.171
Oxbow,Manure10tha,9.35,17.76,13.77,62.03,3.7,0.14,3.3,7.97,0.294,2.48,108499,2.169
Oxbow,Manure10tha,10.22,19,14.92,70.05,7.28,0.22,4.9,7.99,0.245,2.62,108500,2.17
Oxbow,Willow10tha,8.5,8.31,64.65,691.76,2.21,0.12,2.65,7.64,0.23,2.58,78500,0.17
Oxbow,Willow10tha,4.4,4.16,15.84,209.41,2.95,0.09,2.65,7.6,0.282,2.82,78501,0.171
Oxbow,Willow10tha,5.25,6.33,41.3,309.41,2.35,0.07,1.95,7.68,0.249,2.93,78499,0.169
Oxbow,Willow10tha,3.45,2.78,-0.47,97.65,2.13,0.05,2.05,7.7,0.3,2.59,78500,0.17
Oxbow,CanolaMeal10thaTSP,12.7,24.68,12.35,56.95,2.82,0.17,3.95,7.72,0.236,2.67,177000,3.04
Oxbow,CanolaMeal10thaTSP,12.03,22.68,11.22,53.16,2.96,0.18,4.05,7.71,0.215,2.65,177001,3.041
Oxbow,CanolaMeal10thaTSP,9.09,20.5,9.99,36.55,3.36,0.17,3.55,7.74,0.21,2.62,176999,3.039
Oxbow,CanolaMeal10thaTSP,9.78,19.08,9.19,40.45,,,,7.72,0.232,,177000,3.04
Oxbow,CanolaHull10thaTSP,8.46,16.82,26.68,111.24,5.6,0.17,4.15,7.711,0.358,2.6,52500,0.55
Oxbow,CanolaHull10thaTSP,7.71,14.83,22.88,96.95,5.53,0.19,5.45,7.71,0.366,2.7,52501,0.551
Oxbow,CanolaHull10thaTSP,10.45,17.63,28.22,149.14,4.2,0.13,3.4,7.71,0.331,2.54,52499,0.549
Oxbow,CanolaHull10thaTSP,10.05,17.29,27.56,141.52,4.21,0.18,4.8,7.71222,0.283,2.75,52000,0.55
Oxbow,Manure10thaTSP,10.56,22.19,NA,59.48,9.76,0.37,7.8,7.8,0.262,2.49,133500,2.17
Oxbow,Manure10thaTSP,12.7,27.89,18.78,75.51,11.74,0.54,8.8,7.79,0.243,2.6,133501,2.171
Oxbow,Manure10thaTSP,12.71,27.05,18.15,75.58,9.48,0.25,6.85,7.8,0.22,2.8,133499,2.169
Oxbow,Manure10thaTSP,14.47,29.23,19.79,88.76,,0.28,4.2,7.81,0.238,2.45,133500,2.17
Oxbow,Willow10thaTSP,12.91,17.25,43.07,307.16,2.13,0.14,2.9,7.82,0.21,2.99,33500,0.17
Oxbow,Willow10thaTSP,12.48,20.62,53.14,294.33,2.34,0.1,3.05,7.82,0.207,2.76,33501,0.171
Oxbow,Willow10thaTSP,11.15,18.57,47.02,254.63,2.75,0.18,3.55,7.81,0.207,2.82,33499,0.169
Oxbow,Willow10thaTSP,10.33,18.65,47.25,230.15,3.19,0.15,3.75,7.81,0.222,2.7,33500,0.17
Oxbow,TripleSuperPhosphate,8.39,15.52,50.82,230.8,3.07,0.16,3.15,7.83,0.207,2.49,25000,24.6
Oxbow,TripleSuperPhosphate,8.28,13.52,42.79,226.4,3.47,0.17,,7.81,0.241,2.49,25001,24.61
Oxbow,TripleSuperPhosphate,9.58,13.6,43.12,278.4,3.51,0.16,3.2,7.83,0.224,2.57,24999,24.59
Oxbow,TripleSuperPhosphate,11.62,16.35,54.13,360,2.47,0.18,2.95,7.86,0.212,2.43,25000,24.6
